timestamp_iso,hr_bpm,pr_ms,rr_ms
2026-02-10T14:13:24.950877,75,168,800
2026-02-10T14:13:24.951191,75,168,800
2026-02-10T14:13:26.992132,0,168,
2026-02-10T14:13:30.098062,0,168,
2026-02-10T14:13:35.323389,0,168,
2026-02-10T14:13:40.588282,0,168,
2026-02-10T14:13:45.984411,0,168,
2026-02-10T14:13:50.109486,108,168,556
2026-02-10T14:13:51.112374,108,168,556
2026-02-10T14:13:56.200314,108,168,556
2026-02-10T14:14:01.564897,108,168,556
2026-02-10T14:14:06.713926,108,168,556
2026-02-10T14:14:11.859900,108,168,556
2026-02-10T14:14:17.029816,108,168,556
2026-02-10T14:14:22.174364,108,168,556
2026-02-10T14:14:27.314285,108,168,556
2026-02-10T14:14:32.461416,108,168,556
2026-02-10T14:14:37.596748,108,168,556
2026-02-10T14:14:42.788015,108,168,556
2026-02-10T14:14:43.820538,114,168,526
2026-02-10T14:14:47.987595,114,168,526
2026-02-10T14:14:53.206045,114,168,526
2026-02-10T14:14:58.461844,114,168,526
2026-02-10T14:15:04.243663,114,168,526
2026-02-10T14:16:45.880121,75,168,800
2026-02-10T14:16:45.880402,75,168,800
2026-02-10T14:16:47.927182,0,168,
2026-02-10T14:16:51.885060,0,168,
2026-02-10T14:16:57.118595,107,168,561
2026-02-10T14:16:57.118729,107,168,561
2026-02-10T14:17:02.291916,107,168,561
2026-02-10T14:17:08.259654,107,168,561
2026-02-10T14:17:13.452068,107,168,561
2026-02-10T14:17:18.492999,107,168,561
2026-02-10T14:17:27.349117,107,168,561
2026-02-10T14:17:32.632635,107,168,561
2026-02-10T14:17:36.749802,103,168,583
2026-02-10T14:17:37.786216,92,168,652
2026-02-10T14:17:37.786356,92,168,652
2026-02-10T14:17:38.826029,70,168,857
2026-02-10T14:17:39.826575,60,168,1000
2026-02-10T14:17:42.844357,60,168,1000
2026-02-10T14:17:48.078630,60,168,1000
2026-02-10T14:17:53.261226,60,168,1000
2026-02-10T14:17:58.530053,60,168,1000
2026-02-10T14:18:00.648235,84,168,714
2026-02-10T14:18:01.723258,95,168,632
2026-02-10T14:18:03.839434,100,168,600
2026-02-10T14:18:03.839520,100,168,600
2026-02-10T14:18:09.167755,100,168,600
2026-02-10T14:18:14.418547,100,168,600
2026-02-10T14:18:19.559632,100,168,600
2026-02-10T14:18:24.717729,100,168,600
2026-02-10T14:18:29.763346,100,168,600
2026-02-10T14:18:34.907264,149,168,403
2026-02-10T14:18:34.907401,149,168,403
2026-02-10T14:18:36.010041,160,168,375
2026-02-10T14:21:25.067437,75,168,800
2026-02-10T14:21:25.067681,75,168,800
2026-02-10T14:21:27.352494,0,168,
2026-02-10T14:21:30.335733,0,168,
2026-02-10T14:21:35.601729,0,168,
2026-02-10T14:21:36.603634,80,168,750
2026-02-10T14:21:40.680744,80,168,750
